First Name,Last Name,Date of Birth,Person ID,Case Opened Date,Case Closed Date,Program,Program Date,Program Attendence
Sylvester,Cat,1998-03-08,1000030,2019-04-01,2019-08-12,Individual Counseling,2019-04-03,Y
Sylvester,Cat,1998-03-08,1000030,2019-04-01,2019-08-12,Individual Counseling,2019-04-08,Y
Sylvester,Cat,1998-03-08,1000030,2019-04-01,2019-08-12,Individual Counseling,2019-04-13,Y
Sylvester,Cat,1998-03-08,1000030,2019-04-01,2019-08-12,Group Class,2019-12-15,Cancelled
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Individual Counseling,2018-07-19,Y
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Individual Counseling,2018-03-16,Y
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Individual Counseling,2018-04-03,Y
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Group Class,2018-06-10,Y
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Group Class,2018-06-18,Y
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Individual Counseling,2018-05-21,Y
Road,Runner,1990-01-05,1000040_00,2018-03-05,2018-08-22,Individual Counseling,2018-07-08,Y
Road,Runner,1990-01-05,1000040_01,2019-07-05,2019-10-31,Group Class,2019-08-21,N
Road,Runner,1990-01-05,1000040_01,2019-07-05,2019-10-31,Group Class,2019-12-15,Cancelled
Road,Runner,1990-01-05,1000040_01,2019-07-05,2019-10-31,Group Class,2019-12-15,Cancelled
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Individual Counseling,2019-04-30,Y
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Individual Counseling,2019-04-15,N
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Individual Counseling,2019-05-07,N
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Individual Counseling,2019-06-22,N
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Group Class,2019-04-14,Y
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Group Class,2019-04-22,Y
Wiley,Coyote,2000-03-05,1000050,2019-04-13,2019-07-30,Group Class,2019-12-15,Cancelled
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-10-05,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-10-10,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-10-20,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-10-25,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-10-30,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-11-04,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Individual Counseling,2019-11-09,Y
Fred,Flinstone,2001-04-14,1000060,2019-10-01,,Group Class,2019-12-15,Cancelled
Marvin,Martian,2023-12-05,1000070,2019-05-15,2019-09-21,Individual Counseling,2019-06-12,Y
Marvin,Martian,2023-12-05,1000070,2019-05-15,2019-09-21,Individual Counseling,2019-06-17,Y
Marvin,Martian,2023-12-05,1000070,2019-05-15,2019-09-21,Individual Counseling,2019-06-27,Y
Marvin,Martian,2023-12-05,1000070,2019-05-15,2019-09-21,Group Class,2019-12-15,Cancelled
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-10-10,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-10-15,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-03,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-04,N
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-05,N
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-09,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-10,N
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-15,N
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-18,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2019-01-19,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Group Class,2019-12-15,Cancelled
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-10-25,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-10-30,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-11-04,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-09-27,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-10-02,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-12-09,Y
Elmer,Fudd,1999-07-29,1000080,2018-09-19,,Individual Counseling,2018-12-22,Y
Roger,Rabbit,1995-08-01,1000090,2019-03-14,2019-09-12,Individual Counseling,2019-03-19,Y
Roger,Rabbit,1995-08-01,1000090,2019-03-14,2019-09-12,Individual Counseling,2019-03-24,Y
Roger,Rabbit,1995-08-01,1000090,2019-03-14,2019-09-12,Individual Counseling,2019-03-15,N
Roger,Rabbit,1995-08-01,1000090,2019-03-14,2019-09-12,Individual Counseling,2019-04-07,N
Roger,Rabbit,1995-08-01,1000090,2019-03-14,2019-09-12,Individual Counseling,2019-06-18,N
Roger,Rabbit,1995-08-01,1000090,2019-03-14,2019-09-12,Group Class,2019-12-15,Cancelled
Bugs,Bunny,1985-06-16,1000100,2019-05-25,2019-09-12,Group Class,2019-06-02,N
Bugs,Bunny,1985-06-16,1000100,2019-05-25,2019-09-12,Group Class,2019-06-09,Y
Bugs,Bunny,1985-06-16,1000100,2019-05-25,2019-09-12,Group Class,2019-06-22,N
Bugs,Bunny,1985-06-16,1000100,2019-05-25,2019-09-12,Group Class,2019-06-25,Y
Bugs,Bunny,1985-06-16,1000100,2019-05-25,2019-09-12,Group Class,2019-07-03,Y
Bugs,Bunny,1985-06-16,1000100,2019-05-25,2019-09-12,Group Class,2019-12-15,Cancelled
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Individual Counseling,2019-09-15,Y
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Individual Counseling,2019-09-20,Y
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Individual Counseling,2019-09-25,N
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Group Class,2019-09-30,Y
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Individual Counseling,2018-11-28,Cancelled
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Individual Counseling,2018-11-22,Y
Daffy,Duck,1975-04-22,1000110,2018-08-01,,Individual Counseling,2018-08-07,Y
Spongebob,Squarepants,1991-06-13,1000120,2019-01-05,2019-09-12,Group Class,2019-01-14,N
Spongebob,Squarepants,1991-06-13,1000120,2019-01-05,2019-09-12,Group Class,2019-01-16,Y
Spongebob,Squarepants,1991-06-13,1000120,2019-01-05,2019-09-12,Group Class,2019-01-24,Y
Spongebob,Squarepants,1991-06-13,1000120,2019-01-05,2019-09-12,Individual Counseling,2019-03-05,Cancelled
Spongebob,Squarepants,1991-06-13,1000120,2019-01-05,2019-09-12,Group Class,2019-02-01,Y
Foghorn,Leghorn,1997-08-15,1000130,2019-04-23,2019-10-01,Individual Counseling,2019-04-23,Cancelled
Foghorn,Leghorn,1997-08-15,1000130,2019-04-23,2019-10-01,Individual Counseling,2019-05-18,Y
Foghorn,Leghorn,1997-08-15,1000130,2019-04-23,2019-10-01,Individual Counseling,2019-05-23,Y
Foghorn,Leghorn,1997-08-15,1000130,2019-04-23,2019-10-01,Individual Counseling,2019-05-28,Y
Foghorn,Leghorn,1997-08-15,1000130,2019-04-23,2019-10-01,Individual Counseling,2019-06-07,Y
Foghorn,Leghorn,1997-08-15,1000130,2019-04-23,2019-10-01,Individual Counseling,2019-04-27,N
Tasmanian,Devil,2023-11-25,1000140,2019-01-12,2019-07-15,Group Class,2019-02-02,N
Tasmanian,Devil,2023-11-25,1000140,2019-01-12,2019-07-15,Individual Counseling,2019-09-15,Cancelled
Penelope,Cat,1988-03-19,1000150,2019-05-07,,Group Class,2019-05-08,Y
Penelope,Cat,1988-03-19,1000150,2019-05-07,,Group Class,2019-05-13,N
Penelope,Cat,1988-03-19,1000150,2019-05-07,,Group Class,2019-05-16,Y
Penelope,Cat,1988-03-19,1000150,2019-05-07,,Group Class,2019-05-24,Y
Penelope,Cat,1988-03-19,1000150,2019-05-07,,Group Class,2019-06-01,Y
Penelope,Cat,1988-03-19,1000150,2019-05-07,,Individual Counseling,2019-08-01,Cancelled
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-01-20,N
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-01-23,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-01-28,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-01-29,N
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-03,N
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-07,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-08,N
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-12,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-13,N
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-22,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-02-27,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-03-04,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-03-09,Y
Yosemite,Sam,1993-05-17,1000160,2019-01-19,2019-06-15,Individual Counseling,2019-08-13,Cancelled
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Group Class,2019-08-28,Y
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Group Class,2019-09-10,N
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Individual Counseling,2018-08-14,Cancelled
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Individual Counseling,2018-08-16,Y
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Individual Counseling,2018-08-21,Y
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Individual Counseling,2018-08-30,Y
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Individual Counseling,2018-09-05,Y
Hector,Bulldog,1998-10-19,1000170,2018-08-12,2019-09-11,Individual Counseling,2018-09-01,N
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-10-11,Cancelled
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-09-07,Y
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-09-24,Y
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-10-02,Y
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-10-14,Y
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-10-30,N
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-11-02,N
Charlie,Dog,2001-11-15,1000180,2019-09-01,2019-11-01,Individual Counseling,2019-09-13,N
Petunia,Pig,2002-12-14,1000190,2019-04-14,2019-08-05,Individual Counseling,2019-02-22,Cancelled
Petunia,Pig,2002-12-14,1000190,2019-04-14,2019-08-05,Individual Counseling,2019-04-18,Y
Petunia,Pig,2002-12-14,1000190,2019-04-14,2019-08-05,Individual Counseling,2019-04-23,Y
Petunia,Pig,2002-12-14,1000190,2019-04-14,2019-08-05,Individual Counseling,2019-04-28,Y
Petunia,Pig,2002-12-14,1000190,2019-04-14,2019-08-05,Individual Counseling,2019-05-03,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Group Class,2019-07-07,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-07-02,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-07-12,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-07-17,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-07-22,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-07-27,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-08-06,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-08-11,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-08-16,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-08-26,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-08-31,Y
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-09-05,N
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Individual Counseling,2019-11-26,Cancelled
Cecil,Turtle,1965-07-15,1000200,2019-07-01,2019-09-06,Group Class,2019-08-13,N
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2018-09-26,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2018-10-04,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2018-10-05,N
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2018-10-12,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2018-10-20,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2018-10-28,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2019-01-08,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Group Class,2019-01-13,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Individual Counseling,2019-12-05,Cancelled
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Individual Counseling,2018-12-06,Y
Giovanni,Jones,1957-08-04,1000210,2018-08-05,2019-02-01,Individual Counseling,2018-10-05,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Group Class,2019-07-11,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Group Class,2019-07-19,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Group Class,2019-08-01,N
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Group Class,2019-08-04,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Group Class,2019-08-12,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Group Class,2019-08-20,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Individual Counseling,2019-10-26,Cancelled
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Individual Counseling,2019-05-18,Y
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Individual Counseling,2019-07-12,N
Ralph,Phillips,1999-09-29,1000220,2019-05-12,2019-09-01,Individual Counseling,2019-08-18,N
